candidato,url,caption,data,likes,shortCode,comentarios,categoria,validacao_1,subcategoria,validacao_2,formato,periodo,Observação,...14
Lula,https://www.instagram.com/p/DcGuI_oueFY/,"Que emoção voltar à Vila Euclides quase 50 anos depois. ❤️

Obrigado, Brasil, por me permitir voltar ao lugar onde tudo começou.

: @ricardostuckert
_

Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02.",2026-08-16T00:00:00Z,759940,DcGuI_oueFY,68859,Conteúdo Programático,Conteúdo programático,"

Mobilização Política","

Mobilização Política",Vídeo,16-22_08,Comício,NA
Lula,https://www.instagram.com/p/DcFefeeu0N_/,"É oficial! A campanha começa agora. 

Chegou a hora de mostrar que o Brasil está pronto pra mais. Mais oportunidades, mais soberania, mais futuro.

É hora do 13! ⭐️

Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02",2026-08-16T00:00:00Z,543781,DcFefeeu0N_,38064,Conteúdo Programático,Conteúdo programático,"

Mobilização Política","

Mobilização Política",Foto,16-22_08,Conteúdo de Campanha,NA
Lula,https://www.instagram.com/p/DcJO59-ug-l/,"Eu não quero o Lulinha Paz e Amor. Eu quero o Lulinha Porreta. Quero o Lulinha que vai fazer o que ainda não fizemos. Porque o básico, que nós cuidamos, o povo já está comendo. Agora que o básico está garantido, é hora de dar um salto de qualidade. É hora de pensar grande e levar o Brasil para um novo patamar.  

 @ricardostuckert 

Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02.",2026-08-17T00:00:00Z,320644,DcJO59-ug-l,6140,Conteúdo Personalista,Conteúdo personalista,Competência,Competência,Foto,16-22_08,Conteúdo de Campanha,NA
Lula,https://www.instagram.com/p/DcHO80slX6g/,"Voltar à Vila Euclides é reencontrar um pedaço fundamental da história do Brasil.

Em São Bernardo do Campo, esse chão foi palco da luta da classe trabalhadora e de momentos decisivos para a nossa democracia.

Hoje, é emocionante ver o povo brasileiro de volta a esse lugar, celebrando a nossa história e olhando para o futuro. Porque a história continua, e o Brasil está pronto para mais. 

 @ricardostuckert

Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02.",2026-08-16T00:00:00Z,302839,DcHO80slX6g,10381,Conteúdo Personalista,Conteúdo personalista,Identidade,Identidade,Foto,16-22_08,Identidade,NA
Lula,https://www.instagram.com/p/DcPgUIHONVi/,"Aumenta o som e aprenda a cantar o Rap do Silva com a gente! 

——
Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02.",2026-08-20T00:00:00Z,211015,DcPgUIHONVi,8048,Conteúdo Personalista,Conteúdo personalista,Identidade,Identidade,Vídeo,16-22_08,Video de Campanha,NA
Lula,https://www.instagram.com/p/DcTMLYBx2pY/,A partir de agora nós nos encontramos em estado permanente de campanha!,2026-08-21T00:00:00Z,177053,DcTMLYBx2pY,5762,Conteúdo Programático,Conteúdo programático,Mobilização Política,Mobilização política,Vídeo,16-22_08,NA,NA
Lula,https://www.instagram.com/p/DcGaPpfNsxS/,"Tá com a família aí? Queria dizer pra vocês que o Brasil está pronto pra mais. Como nunca esteve antes. 

Eu quero que o Brasil melhore pra você. 

Vote em você. Vote no seu sonho.",2026-08-16T00:00:00Z,164586,DcGaPpfNsxS,16911,Conteúdo Personalista,Conteúdo personalista,Competência,Competência,Vídeo,16-22_08,NA,NA
Lula,https://www.instagram.com/p/DcUsl5HDtbL/,"Minas Gerais sabe que o Brasil está pronto para mais. E quando o povo acredita, se mobiliza e vai à luta, não tem força capaz de parar esse país. 

No dia 4 de outubro, Lula, Patrus, Marília e Áurea!

 @ricardostuckert

_

Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02.",2026-08-22T00:00:00Z,160408,DcUsl5HDtbL,6826,Conteúdo Programático,Conteúdo programático,Mobilização Política,Mobilização política,Foto,16-22_08,NA,NA
Lula,https://www.instagram.com/p/DcJnZqNN7QI/,"Sigo com a mesma lealdade ao povo brasileiro. Enquanto eu tiver forças, vou seguir trabalhando para fazer mais pelo nosso país e pelos nossos trabalhadores e trabalhadoras. ❤️
_

Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02.",2026-08-17T00:00:00Z,154041,DcJnZqNN7QI,9705,Conteúdo Personalista,Conteúdo personalista,Identidade,Identidade,Vídeo,16-22_08,NA,NA
Lula,https://www.instagram.com/p/DcGxA89O744/,"Hoje volto à Vila Euclides, em São Bernardo, berço da luta da classe trabalhadora do nosso país.

É emocionante ver o povo brasileiro de volta ao lugar onde tudo começou. É daqui que nossa história continua porque o Brasil está pronto para mais. 

 @ricardostuckert

_

Propaganda eleitoral - Coligação Brasil pronto pra mais: PSB/PDT/Federação Fé Brasil(PT/PCdoB/PV)/Federação PSOL-REDE (PSOL/REDE). CNPJ: 68.475.818/0001-02.",2026-08-16T00:00:00Z,135380,DcGxA89O744,5653,Conteúdo Programático,Conteúdo programático,Mobilização Política,Mobilização política,Foto,16-22_08,NA,NA
